kanji	yomi
具体化	ぐたいか
具体的	ぐたいてき
内	うち
内容	ないよう
内容物	ないようぶつ
内罰	ないばつ
内耳	ないじ
内臓	ないぞう
内転	ないてん
内部	ないぶ
内閣府	ないかくふ
円熟	えんじゅく
再冷凍	さいれいとう
再加熱	さいかねつ
再就職先	さいしゅうしょくさき
写真	しゃしん
冬	ふゆ
冷凍食品	れいとうしょくひん
冷房	れいぼう
冷水	れいすい
冷蔵庫	れいぞうこ
処分	しょぶん
出	だ
出入	でいり
出現	しゅつげん
出生後	しゅっしょうご
出生時育児休業	しゅっしょうじいくじきゅうぎょう
分	ぶん
分別	ぶんべつ
分別収集	ぶんべつしゅうしゅう
分泌	ぶんぴつ
分泌物	ぶんぴつぶつ
分野	ぶんや
分間	ふんかん
切	き
初回訪問	しょかいほうもん
初期	しょき
判定	はんてい
判断	はんだん
別	べつ
利	り
利用	りよう
利用中	りようちゅう
利用定員	りようていいん
利用者	りようしゃ
利用者個人	りようしゃこじん
利用者負担割合	りようしゃふたんわりあい
制定	せいてい
制度	せいど
制限	せいげん
刺激	しげき
削減	さくげん
前	まえ
前傾姿勢	ぜんけいしせい
前屈	ぜんくつ
前日調理	ぜんじつちょうり
前頭側頭型認知症	ぜんとうそくとうがたにんちしょう
前鼻道	ぜんびどう
剤	ざい
副交感神経	ふくこうかんしんけい
割	わり
創設	そうせつ
力	ちから
加	くわえ
加わ	くわわ
加湿	かしつ
加齢	かれい
助成金	じょせいきん
助聴器	じょちょうき
助言	じょげん
努	つと
努力	どりょく
努力期	どりょくき
励	はげ
労働	ろうどう
労働安全衛生法	ろうどうあんぜんえいせいほう
労働時間	ろうどうじかん
労働条件	ろうどうじょうけん
労働者数	ろうどうしゃすう
労働者災害補償保険制度	ろうどうしゃさいがいほしょうほけんせいど
労働者災害補償保険法	ろうどうしゃさいがいほしょうほう
効果	こうか
動	うご
動作	どうさ
動作歩行	どうさほこう
動物嫌	どうぶつきらい
動脈	どうみゃく
勝敗	しょうはい
勤め	つとめ
勤務	きんむ
勧め	すすめ
包丁	ほうちょう
包括	ほうかつ
化	か
区別	くべつ
区画	くかく
医学	いがく
医学的	いがくてき
医師	いし
医師法	いしほう
医療	いりょう
医療保険制度	いりょうほけんせいど
医療的	いりょうてき
医療費	いりょうひ
医行為	いこうい
十分	じゅうぶん
午前中	ごぜんちゅう
半年前	はんとしまえ
卒業	そつぎょう
協働	きょうどう
危機	きき
厚	あつ
厚生労働省	こうせいろうどうしょう
原則	げんそく
