kanji	yomi
余暇活動	よかかつどう
作	つく
作成	さくせい
作業	さぎょう
作業中	さぎょうちゅう
作業療法士	さぎょうりょうほうし
作用	さよう
併用	へいよう
使	つか
使い	つかい
使用	しよう
使用方法	しようほうほう
使用状況	しようじょうきょう
使用者	しようしゃ
依頼	いらい
価値尺度	かちしゃくど
侵入	しんにゅう
侵蝕	しんしょく
便	べん
便座	べんざ
便意	べんい
便秘	べんぴ
促	うなが
促進	そくしん
促進等	そくしんとう
保	たも
保健	ほけん
保健師助産師看護師法	ほけんしじょさんしかんごしほう
保健所	ほけんじょ
保存	ほぞん
保存性	ほぞんせい
保持	ほじ
保管	ほかん
保管方法	ほかんほうほう
保育所等	ほいくしょとう
保育所等訪問支援	ほいくしょとうほうもんしえん
保護	ほご
保険	ほけん
保険料	ほけんりょう
保険給付	ほけんきゅうふ
保障	ほしょう
信用	しんよう
信頼	しんらい
信頼関係	しんらいかんけい
修正	しゅうせい
個人	こじん
個別	こべつ
個別対応	こべつたいおう
個別支援会議	こべつしえんかいぎ
個別支援計画	こべつしえんけいかく
個別支援計画作成	こべつしえんけいかくさくせい
個別避難計画	こべつひなんけいかく
個浴	こよく
倒	たお
借	かり
偏	かたよ
健康	けんこう
健康型有料老人	けんこうがたゆうりょうろうじん
健康管理	けんこうかんり
健康診断	けんこうしんだん
健康食品	けんこうしょくひん
側臥位	そくがい
側頭葉	そくとうよう
偽物	にせもの
備	そな
備蓄	びちく
傷	きず
傾	かたむ
傾聴	けいちょう
働	はたら
優	やさしい
優先	ゆうせん
優先度	ゆうせんど
優生保護法	ゆうせいほごほう
元気	げんき
兄	あに
兄弟姉妹	きょうだいしまい
先	さき
先天性	せんてんせい
先生	せんせい
先行期	せんこうき
光	ひかり
光源	こうげん
免疫力	めんえきりょく
免除	めんじょ
児童	じどう
入れる	入れる
入会	にゅうかい
入口	いりぐち
入居	にゅうきょ
入所	にゅうしょ
入所中	にゅうしょちゅう
入所当日	にゅうしょとうじつ
入所施設	にゅうしょしせつ
入所時	にゅうしょじ
入浴	にゅうよく
入浴介助時	にゅうよくかいじょじ
入浴介護	にゅうよくかいご
入浴日	にゅうよくび
入浴時	にゅうよくじ
入浴用	にゅうよくよう
入浴直前	にゅうよくちょくぜん
入眠初期	にゅうみんしょき
入社	にゅうしゃ
入院中	にゅういんちゅう
入院治療	にゅういんちりょう
全介助	ぜんかいじょ
全体像	ぜんたいぞう
全力	ぜんりょく
全国一律	ぜんこくいちりつ
全盲	ぜんもう
全般的	ぜんぱんてき
全身清拭	ぜんしんせいしき
公共	こうきょう
公共職業安定所	こうきょうしょくぎょうあんていじょ
公平性	こうへいせい
公的	こうてき
六親等内	ろくしんとうない
共	とも
共同	きょうどう
共同作業	きょうどうさぎょう
共同生活	きょうどうせいかつ
共同生活援助	きょうどうせいかつえんじょ
共同連帯	きょうどうれんたい
共感	きょうかん
共有	きょうゆう
共生	きょうせい
共生型	きょうせいがた
共生社会	きょうせいしゃかい
共通	きょうつう
共通点	きょうつうてん
具体化	ぐたいか
具体的	ぐたいてき
具合	ぐあい
典型的	てんけいてき
内	うち
内容	ないよう
内容物	ないようぶつ
内罰	ないばつ
内耳	ないじ
内臓	ないぞう
内転	ないてん
内部	ないぶ
内閣府	ないかくふ
円	えん
円熟	えんじゅく
再	さい
再冷凍	さいれいとう
再加熱	さいかねつ
再就職先	さいしゅうしょくさき
再発防止	さいはつぼうし
写真	しゃしん
冬	ふゆ
冷凍食品	れいとうしょくひん
冷房	れいぼう
冷水	れいすい
冷蔵庫	れいぞうこ
処分	しょぶん
処方	しょほう
出	だ
出入	でいり
出入口	でいりぐち
出口	でぐち
出席	しゅっせき
出張	しゅっちょう
出現	しゅつげん
出生後	しゅっしょうご
出生時育児休業	しゅっしょうじいくじきゅうぎょう
分	ぶん
分別	ぶんべつ
分別収集	ぶんべつしゅうしゅう
分前	ふんまえ
分析	ぶんせき
分泌	ぶんぴつ
分泌物	ぶんぴつぶつ
分野	ぶんや
分間	ふんかん
切	き
初	はじ
初回訪問	しょかいほうもん
初期	しょき
判定	はんてい
判断	はんだん
判断能力	はんだんのうりょく
別	べつ
利	り
利用	りよう
利用中	りようちゅう
利用契約制度	りようけいやくせいど
利用定員	りようていいん
利用継続	りようけいぞく
利用者	りようしゃ
利用者個人	りようしゃこじん
利用者同士	りようしゃどうし
利用者家族	りようしゃかぞく
利用者支援	りようしゃしえん
利用者負担	りようしゃふたん
利用者負担割合	りようしゃふたんわりあい
利用開始	りようかいし
利益	りえき
制定	せいてい
制度	せいど
制限	せいげん
刺激	しげき
削減	さくげん
前	まえ
前傾姿勢	ぜんけいしせい
前屈	ぜんくつ
前日調理	ぜんじつちょうり
前脛骨筋	ぜんけいこつきん
前開	まえあ
前頭側頭型認知症	ぜんとうそくとうがたにんちしょう
前鼻道	ぜんびどう
剤	ざい
副交感神経	ふくこうかんしんけい
割	わり
割以上	わりいじょう
創設	そうせつ
力	ちから
加	くわえ
加わ	くわわ
加湿	かしつ
加熱調理	かねつちょうり
加齢	かれい
助成金	じょせいきん
助聴器	じょちょうき
助言	じょげん
努	つと
努力	どりょく
努力期	どりょくき
励	はげ
労働	ろうどう
労働安全衛生法	ろうどうあんぜんえいせいほう
労働時間	ろうどうじかん
労働条件	ろうどうじょうけん
労働者数	ろうどうしゃすう
労働者災害補償保険制度	ろうどうしゃさいがいほしょうほけんせいど
労働者災害補償保険法	ろうどうしゃさいがいほしょうほう
労務管理	ろうむかんり
効果	こうか
効率化	こうりつか
動	うご
動作	どうさ
動作時	どうさじ
動作歩行	どうさほこう
動物嫌	どうぶつきらい
動脈	どうみゃく
勝敗	しょうはい
勤め	つとめ
勤務	きんむ
