kanji yomi
当  あ
伝  つた
妻  つま
次  つぎ
手  て
手足  てあし
提案  ていあん
定期的  ていきてき
提供  ていきょう
提唱  ていしょう
程度  ていど
適切  てきせつ
伝達  でんたつ
統合化	とうごうか
特徴  とくちょう
特別  とくべつ
隣  となり
伴  ともな
閉じ  とじ
都道府県  とどうふけん
同居  どうきょ
動作  どうさ
導入  どうにゅう
同年代  どうねんだい
動脈  どうみゃく
同僚  どうりょう
土足  どそく
努力  どりょく
努力期  どりょくき
内転  ないてん
内容  ないよう
内臓  ないぞう
仲間  なかま
何回  なんかい
何度  なんど
長  なが
日常  にちじょう
偽物  にせもの
任意  にんい
認定  にんてい
認知  にんち
認知症  にんちしょう
人間  にんげん
入居  にゅうきょ
入社  にゅうしゃ
入所  にゅうしょ
入浴  にゅうよく
尿意  にょうい
日中  にっちゅう
年金  ねんきん
能力  のうりょく
把握  はあく
肺  はい
配慮  はいりょ
話し合う  はなしあう
範囲  はんい
判定  はんてい
判断  はんだん
発展  はってん
場合  ばあい
場所  ばしょ
番号  ばんごう
非  ひ
日  ひ
比較的  ひかくてき
引き上  ひきあ
被災者  ひさいしゃ
必要  ひつよう
一人暮  ひとりく
避難  ひなん
避難所  ひなんじょ
膝  ひざ
左側  ひだりがわ
必須  ひっす
評価	ひょうか
漂白剤  ひょうはくざい
病院  びょういん
平等性  びょうどうせい
不  ふ
不安  ふあん
増え  ふえ
福祉  ふくし
負担  ふたん
雰囲気  ふんいき
復帰  ふっき
部位  ぶい
文化  ぶんか
分野	ぶんや
部分床  ぶぶんしょう
部屋  へや
変化  へんか
返答  へんとう
便  べん
便意  べんい
便秘  べんぴ
包括  ほうかつ
方法  ほうほう
訪問  ほうもん
法令  ほうれい
保険  ほけん
保健  ほけん
歩行  ほこう
補装具  ほそうぐ
補足  ほそく
歩幅  ほはば
保持  ほじ
保護  ほご
毎年  まいとし
毎晩  まいばん
窓口  まどぐち
未開封  みかいふう
見守  みまも
未満  みまん
身元保証  みもとほしょう
民生委員  みんせいいいん
密着  みっちゃく
脈拍  みゃくはく
名  めい
明確化	めいかくか
明確	めいかく
名称  めいしょう
綿  めん
面接  めんせつ
免除  めんじょ
目印  めじるし
妄想  もうそう
目的  もくてき
者  もの
問題  もんだい
最  もっと
夜間  やかん
役割  やくわり
有効  ゆうこう
有料  ゆうりょう
指指  ゆびさ
要支援  ようしえん
要配慮  ようはいりょ
様子  ようす
要介護  ようかいご
要介護者  ようかいごしゃ
用具  ようぐ
養護  ようご
様態  ようだい
欲求階層説  よっきゅうかいそうせつ
予防  よぼう
理解  りかい
立案	りつあん
立位  りつい
理念  りねん
理由  りゆう
利用  りよう
利用者  りようしゃ
両親  りょうしん
両面  りょうめん
療養  りょうよう
連携  れんけい
廊下  ろうか
老人  ろうじん
労働者数  ろうどうしゃすう
和式便器  わしきべんき
私  わたし
